"County","Total Market Value","Total Actual Levy","Total County Tax Rate","Total Appraised Value (Total Taxable Value for FM/FC)","Total Appraised Value (Total Taxable Value for County Tax Purposes)"
"Lynn","$966,330,260","$3,383,766","$0.770000","$0","$439,450,160"
"Madison","$2,130,996,089","$1,263,272","$0.550000","$0","$229,685,843"
"Marion","$1,078,333,870","$3,906,169","$0.554933","$0","$703,899,080"
"Martin","$5,017,872,260","$18,026,254","$0.380100","$4,754,713,710","$4,736,814,480"
"Mason","$2,632,251,160","$2,663,902","$0.610189","$0","$436,569,975"
"Matagorda","$7,512,749,439","$18,717,272","$0.417580","$0","$4,482,320,046"
"Maverick","$4,056,018,259","$14,936,358","$0.543400","$0","$2,748,685,672"
"McCulloch","$1,781,918,530","$4,372,369","$0.649800","$0","$672,879,280"
"McLennan","$22,331,813,272","$82,222,867","$0.485293","$0","$16,942,932,880"
"McMullen","$3,473,729,996","$14,407,519","$0.570000","$0","$2,527,634,978"
"Medina","$6,383,076,946","$18,119,194","$0.551700","$3,267,349,279","$3,287,589,913"
"Menard","$1,091,932,220","$1,570,591","$0.756060","$206,009,330","$207,755,740"
"Midland","$29,099,178,571","$38,148,954","$0.140000","$0","$27,249,252,840"
"Milam","$3,510,334,244","$11,163,324","$0.730000","$1,558,642,189","$1,529,222,490"
"Mills","$1,893,187,235","$4,556,827","$0.714100","$0","$638,121,683"
"Mitchell","$1,388,315,826","$5,094,446","$0.587510","$864,682,071","$867,163,071"
"Montague","$3,505,784,309","$10,216,133","$0.550000","$0","$1,857,478,772"
"Montgomery","$65,695,892,720","$253,125,461","$0.466700","$0","$54,237,296,030"
"Moore","$2,701,995,431","$11,618,998","$0.527517","$2,184,435,792","$2,205,676,048"
"Morris","$1,039,068,920","$3,834,038","$0.491056","$0","$780,774,180"
"Motley","$350,819,689","$788,151","$0.664210","$0","$118,659,959"
"Nacogdoches","$5,406,282,290","$19,321,443","$0.567600","$0","$3,404,059,708"
"Navarro","$4,888,104,748","$17,937,836","$0.519900","$3,497,425,535","$3,449,416,240"
"Newton","$2,226,290,841","$8,075,472","$0.713246","$1,177,123,939","$1,126,657,019"
"Nolan","$3,044,614,460","$11,554,087","$0.531656","$2,159,207,945","$2,176,132,125"
"Nueces","$35,948,645,399","$92,486,784","$0.313088","$29,428,210,612","$29,541,600,132"
"Ochiltree","$2,013,724,258","$7,494,099","$0.524000","$0","$1,430,171,518"
"Oldham","$1,072,512,783","$1,867,375","$0.550000","$0","$339,522,764"
"Orange","$6,895,068,033","$30,158,576","$0.542000","$5,266,174,266","$5,565,861,059"
"Palo Pinto","$4,466,912,294","$12,127,788","$0.400000","$0","$3,031,946,991"
"Panola","$4,278,566,440","$20,672,103","$0.624700","$3,299,177,920","$3,309,398,030"
"Parker","$16,272,092,801","$48,670,151","$0.383806","$12,700,222,305","$12,675,723,685"
"Parmer","$1,620,263,705","$4,540,645","$0.549200","$826,776,682","$826,773,982"
"Pecos","$3,984,755,914","$22,542,876","$0.793000","$0","$2,842,733,478"
"Polk","$5,311,208,096","$22,133,617","$0.646100","$3,609,354,038","$3,425,726,194"
"Potter","$8,750,679,547","$54,035,814","$0.685000","$8,004,653,452","$7,888,440,011"
"Presidio","$1,252,737,310","$3,542,571","$0.614750","$620,673,559","$576,262,085"
"Rains","$1,149,547,003","$4,566,051","$0.640000","$0","$713,445,488"
"Randall","$11,402,684,135","$44,763,084","$0.431260","$10,568,453,385","$10,379,604,826"
"Reagan","$3,835,895,138","$9,033,241","$0.285780","$3,159,698,716","$3,161,039,416"
"Real","$1,175,641,566","$2,410,117","$0.545700","$450,691,087","$441,656,017"
